CMDLINE C:\Users\TheNo\.virtualenvs\xetra_ianf-Unf67TXk\Scripts\python.exe run.py
MEM 1.785156 1742315284.6604
MEM 3.523438 1742315284.7609
MEM 3.523438 1742315284.8611
MEM 3.523438 1742315284.9612
MEM 3.523438 1742315285.0617
MEM 3.523438 1742315285.1619
MEM 3.523438 1742315285.2622
MEM 3.523438 1742315285.3626
MEM 3.523438 1742315285.4629
MEM 3.523438 1742315285.5631
MEM 3.523438 1742315285.6632
MEM 3.523438 1742315285.7634
MEM 3.523438 1742315285.8637
MEM 3.523438 1742315285.9640
MEM 3.523438 1742315286.0641
MEM 3.523438 1742315286.1646
MEM 3.523438 1742315286.2647
MEM 3.523438 1742315286.3649
MEM 3.523438 1742315286.4653
MEM 3.523438 1742315286.5656
MEM 3.523438 1742315286.6657
MEM 3.523438 1742315286.7662
